country,iso3,wave1,score,tier,tier2_upper,accreditation,acc_pts,metrology,met_pts,standards,std_pts,legal_metrology,oiml_pts,regional,reg_pts,gqii2025_rank,gqii_tercile_africa,qi4sd2024_score,qi4sd2024_rank
Algeria,DZA,,7.0,2,upper,Own ILAC MRA signatory (ALGERAC),3.0,None,0.0,ISO member body,2.0,OIML Member State,1.0,ARSO+AFRIMETS,1.0,88,top,24,45/48 L
Angola,AGO,,4.0,2,,"Covered by SADCAS (ILAC MRA signatory, regional)",2.0,None,0.0,ISO correspondent member,1.0,OIML Corresponding Member,0.5,AFRIMETS,0.5,121,middle,25,43/48 M
Benin,BEN,,5.0,2,,"Covered by SOAC/WAAS (ILAC MRA signatory, regional)",2.0,None,0.0,ISO member body,2.0,None,0.0,ARSO+AFRIMETS,1.0,110,middle,28,34/48 M
Botswana,BWA,,8.5,2,upper,"Covered by SADCAS (ILAC MRA signatory, regional)",2.0,"CGPM Associate, 3 CMCs in KCDB",3.0,ISO member body,2.0,OIML Corresponding Member,0.5,ARSO+AFRIMETS,1.0,96,top,44,8/48 M
Burkina Faso,BFA,Yes,5.5,2,,"Covered by SOAC/WAAS (ILAC MRA signatory, regional)",2.0,None,0.0,ISO member body,2.0,OIML Corresponding Member,0.5,ARSO+AFRIMETS,1.0,120,middle,37,13/48 M
Burundi,BDI,,3.0,1,,None,0.0,None,0.0,ISO member body,2.0,None,0.0,ARSO+AFRIMETS,1.0,141,bottom,7,17/18 S
Cabo Verde,CPV,,0.5,1,,None,0.0,None,0.0,Not an ISO member,0.0,None,0.0,AFRIMETS,0.5,174,bottom,not published,
Cameroon,CMR,Yes,3.0,2,,None,0.0,None,0.0,ISO member body,2.0,None,0.0,ARSO+AFRIMETS,1.0,130,middle,not published,
Central African Republic,CAF,,0.5,1,,None,0.0,None,0.0,Not an ISO member,0.0,None,0.0,AFRIMETS,0.5,178,bottom,not published,
Chad,TCD,Yes,2.0,1,,None,0.0,None,0.0,ISO correspondent member,1.0,None,0.0,ARSO+AFRIMETS,1.0,167,bottom,not published,
